CAS	SMILES	InChi	InChiKey	EA, eV	BG, eV
6583-06-8	[O-][N+](=O)c1cccc2nsnc12	InChI=1S/C6H3N3O2S/c10-9(11)5-3-1-2-4-6(5)8-12-7-4/h1-3H	IWQKAMJGVIHECB-UHFFFAOYSA-N	1,97	4,18
83809-87-4	[O-][N+](=O)C1=NN=C2N=CNN2C1=O	InChI=1S/C4H2N6O3/c11-3-2(10(12)13)7-8-4-5-1-6-9(3)4/h1H,(H,5,6,8)	PJWJEUJIMJNSEA-UHFFFAOYSA-N	1,73	4,65
273-15-4	c1ccc2N=[Se]=Nc2c1	InChI=1S/C6H4N2Se/c1-2-4-6-5(3-1)7-9-8-6/h1-4H	AYTPIVIDHMVGSX-UHFFFAOYSA-N	1,06	4,02
50365-37-2	C1=C2C(=CC(=C1[N+](=O)[O-])[N+](=O)[O-])N=CN2	InChI=1S/C7H4N4O4/c12-10(13)6-1-4-5(9-3-8-4)2-7(6)11(14)15/h1-3H,(H,8,9)	GJKUZDYIYKJZOB-UHFFFAOYSA-N	1,72	4,66
616-74-0	Oc1cc(O)c(cc1[N+]([O-])=O)[N+]([O-])=O	InChI=1S/C6H4N2O6/c9-5-2-6(10)4(8(13)14)1-3(5)7(11)12/h1-2,9-10H	MBXIRNHACKAGPA-UHFFFAOYSA-N	1,38	4,87
1445-69-8	O=C1N=NC(=O)C2C=CC=CC12	InChI=1S/C8H6N2O2/c11-7-5-3-1-2-4-6(5)8(12)10-9-7/h1-6H	JNQUJPBFSQETPT-UHFFFAOYSA-N	0,47	4,65
480-96-6	[O-][n+]1onc2ccccc12	InChI=1S/C6H4N2O2/c9-8-6-4-2-1-3-5(6)7-10-8/h1-4H	OKEAMBAZBICIFP-UHFFFAOYSA-N	1,22	3,56
15264-44-5	[O-][N+](=O)c1ccc2conc2c1	InChI=1S/C7H4N2O3/c10-9(11)6-2-1-5-4-12-8-7(5)3-6/h1-4H	VXUKBYHFZXHKFY-UHFFFAOYSA-N	1,76	3,81
22902-67-6	C1=CC(=NC2=C1NC(=O)N2)[N+](=O)[O-]	InChI=1S/C6H4N4O3/c11-6-7-3-1-2-4(10(12)13)8-5(3)9-6/h1-2H,(H2,7,8,9,11)	TXAMXRHQYUGXOV-UHFFFAOYSA-N	1,35	4,25
613-50-3	[O-][N+](=O)c1ccc2ncccc2c1	InChI=1S/C9H6N2O2/c12-11(13)8-3-4-9-7(6-8)2-1-5-10-9/h1-6H	SMHPLBXIVNQFBA-UHFFFAOYSA-N	1,54	4,33
24824-27-9	[O-][N+](=O)c1ccc2ccc(cc2c1)[N+]([O-])=O	InChI=1S/C10H6N2O4/c13-11(14)9-3-1-7-2-4-10(12(15)16)6-8(7)5-9/h1-6H	AFDWAIQLYHEUIW-UHFFFAOYSA-N	1,97	4,14
40423-49-2	C1=CN=C(C2=C1NC(=O)N2)[N+](=O)[O-]	InChI=1S/C6H4N4O3/c11-6-8-3-1-2-7-5(10(12)13)4(3)9-6/h1-2H,(H2,8,9,11)	XPQAXDITCSTPAJ-UHFFFAOYSA-N	1,56	4,15
930-33-6	O=C1NNC=N1	InChI=1S/C2H3N3O/c6-2-3-1-4-5-2/h1H,(H2,3,4,5,6)	LZTSCEYDCZBRCJ-UHFFFAOYSA-N	-0,41	5,80
61241-07-4	[O-][N+](=O)c1cn[nH]c1C#N	InChI=1S/C4H2N4O2/c5-1-3-4(8(9)10)2-6-7-3/h2H,(H,6,7)	BLSWMOIYTDLKTA-UHFFFAOYSA-N	1,71	5,19
89-32-7	O=C1OC(=O)c2cc3C(=O)OC(=O)c3cc12	InChI=1S/C10H2O6/c11-7-3-1-4-6(10(14)16-8(4)12)2-5(3)9(13)15-7/h1-2H	ANSXAPJVJOKRDJ-UHFFFAOYSA-N	2,76	4,74
2550-73-4	O=C1NC(=O)c2cc3C(=O)NC(=O)c3cc12	InChI=1S/C10H4N2O4/c13-7-3-1-4-6(10(16)12-8(4)14)2-5(3)9(15)11-7/h1-2H,(H,11,13,15)(H,12,14,16)	UGQZLDXDWSPAOM-UHFFFAOYSA-N	2,23	4,49
29261-33-4	FC1=C(F)C(C(=C(F)C1=C(C#N)C#N)F)=C(C#N)C#N	InChI=1S/C12F4N4/c13-9-7(5(1-17)2-18)10(14)12(16)8(11(9)15)6(3-19)4-20	IXHWGNYCZPISET-UHFFFAOYSA-N	4,19	2,46
107-21-1	OCCO	InChI=1S/C2H6O2/c3-1-2-4/h3-4H,1-2H2	LYCAIKOWRPUZTN-UHFFFAOYSA-N	-1,04	7,73
100-51-6	OCc1ccccc1	InChI=1S/C7H8O/c8-6-7-4-2-1-3-5-7/h1-5,8H,6H2	WVDDGKGOMKODPV-UHFFFAOYSA-N	-0,72	6,34
141-78-6	CCOC(C)=O	InChI=1S/C4H8O2/c1-3-6-4(2)5/h3H2,1-2H3	XEKOWRVHYACXOJ-UHFFFAOYSA-N	-1,21	7,68
64-17-5	CCO	InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3	LFQSCWFLJHTTHZ-UHFFFAOYSA-N	-1,27	7,66
