,0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170
Nac Nd0 Car Car,869,7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,6,343
Car Nac Nd0 Car,947,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
Car Nac Cs3 Cs3,37,32,41,52,80,147,252,336,459,418,329,219,150,94,69,56,45,67
Nac Cs3 Cs3 Cs3,7,12,19,19,86,231,439,177,76,35,35,21,22,49,63,100,156,498
.=O C2r C3r Cs3,48,40,33,44,56,114,185,93,53,46,21,18,8,7,6,3,0,0
.=O C2r C2r C2r,105,26,6,2,2,1,0,0,2,1,0,2,9,11,22,52,84,447
Nd0 Car Car O_d,145,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
Cs2 Cs3 Cs3 C3r,1,0,4,5,9,15,14,15,1,1,3,2,2,2,3,7,40,62
Cs3 Cs3 C3r Cs3,0,3,2,8,3,0,2,0,0,0,0,0,0,0,0,3,7,19
Cs3 Cs3 C3r C2r,1,0,1,6,28,75,81,23,5,5,3,5,4,3,3,8,30,69
Cs3 Cs3 C3r C3r,14,19,23,35,86,194,260,208,113,60,33,37,36,42,63,106,232,488
C3r C2r C2r C2r,351,84,59,16,16,6,0,1,0,0,0,0,0,4,2,6,16,227
