,smarts,count,group
216,"[$([!#1]~1~[!#1]~[!#1]~[!#1]~1)!$([C,N,O]1CCC1)!$(C1[C,N,O]CC1)!$(C1C[C,N,O]C1)!$(C1CC[C,N,O]1),*$([!#1]~1(~[!#1]~[!#1]~[!#1]~1)=[!#1]),$([!#1]21~[!#1]~[!#1]~[!#1]1[!#1][!#1]=[!#1]2),$([!#1]21~[!#1]~[!#1]~[!#1]1[!#1]=[!#1][!#1]2)]",1.0,basic
217,[!#1R1]1[!#1R1!$([#6R1]=1([!#1R1][!#1R1][!#1R1][!#1R1][#6R1]=1)[#6])]=[!#1R1!$([#6R1]=1([!#1R1][!#1R1][!#1R1][!#1R1][#6R1]=1)[#6])][!#1R1][!#1R1][!#1R1]1,1.0,basic
218,"[!#1]=[#6]([!#1!#6])-[F,Cl,Br,I]",1.0,basic
219,[#7]([H])([H])!@[#6](:[!#1]):[!#1],1.0,basic
220,"[H][#7](@-[!#1])@-[!#1]-[F,Cl,Br,I]",1.0,basic
221,"[#16X2v2r6,sX4,sX3,#16X2v2r7,SX2v2r5!$(S1c-,:n[C,N]=C1)]",1.0,basic
222,"[$([#6]([!#1])=!@[!#1](@[!#1])@[!#1])!$([#6]([#1])([#9,CX4])=!@[#6]@[#6](=!@[#8])-@[#7])!$([#6]([#1])([#9,CX4])=!@[#6]@[#16](=!@[#8])([!#1])=[#8])]",1.0,basic
223,[#7]C([#1])O,1.0,basic
224,"[#7,#16v2]C([#7,#16v2])[*!$([*]C([#7,#16v2])-@[#7][!#1]=O)]",1.0,basic
225,[$([#16])!$([#16v2])!$([#16v6])],100.0,basic
226,"[$([!#1]~1~[!#1]~[!#1]~1)!$(C1CC1),$([!#1]~1~[!#1](~[!#1]~1)=[!#1]),$(C1C2C1[!#1]=[!#1][!#1]2)$(C1C2C1[!#1][!#1]=[!#1]2)]",1.0,basic
227,[!#1R1]1[!#1R1!$([#6R1]=1([!#1R1][!#1R1][!#1R1][#6R1]=1)[#6])]=[!#1R1!$([#6R1]=1([!#1R1][!#1R1][!#1R1][#6R1]=1)[#6])][!#1R1][!#1R1]1,1.0,basic
228,[H]C([H])([H])!@-[#6](!@-[!#1!#6])!@=[!#1!#6],1.0,basic
229,"[$([#7]-[#8])!$([#7](-!@[OH,O-])(-!@[#6])=!@O)]",1.0,basic
230,C(=[!#1!$([#6](=!@[#6][#1])[#6](=!@[#8])[#7])!$([#6](=!@[#6][#1])[#16](=!@[#8])(=!@[#8])[!#1])])([#1])[#1],1.0,basic
231,[!#1!#6]!@=C1C(C(C(C1[#1])[#1])[#1])[#1],1.0,basic
